Coordinates
version=1
nRows=870
nColumns=38
inDegrees=no

Units are S.I. units (second, meters, Newtons, ...)
If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).

endheader
time	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	arm_flex_r	arm_add_r	arm_rot_r	elbow_flex_r	pro_sup_r	wrist_flex_r	wrist_dev_r	arm_flex_l	arm_add_l	arm_rot_l	elbow_flex_l	pro_sup_l	wrist_flex_l	wrist_dev_l
60.49	2.84396	1.39598	-1.19257	0.639309	0.280478	0.93777	0.0634577	0.00479312	-0.135715	0.441454	-0.391557	0	0	-0.0425226	-0.115354	-0.0572859	0.179119	-0.46503	0	0	-0.404007	0.0790465	0.0359348	0.798706	-0.702853	0.494961	1.15298	0.364715	0	0	1.08105	-0.583048	0.981748	1.03143	0.197672	0	0
60.5	2.83923	1.40221	-1.18705	0.639476	0.279377	0.936029	0.0819135	0.00101409	-0.135773	0.462837	-0.37455	0	0	-0.0244309	-0.115238	-0.0548673	0.19987	-0.440529	0	0	-0.40368	0.0773125	0.0358574	0.798573	-0.701973	0.489702	1.15377	0.369835	0	0	1.0842	-0.583181	0.981453	1.03254	0.200512	0	0
60.51	2.84286	1.40605	-1.18987	0.63962	0.278026	0.934446	0.0976011	-0.00352017	-0.135929	0.483407	-0.367606	0	0	-0.0105258	-0.114433	-0.0521919	0.216916	-0.430675	0	0	-0.407226	0.0751798	0.0353993	0.800836	-0.701525	0.486807	1.15469	0.372243	0	0	1.08924	-0.58415	0.982443	1.03415	0.201786	0	0
60.52	2.84901	1.41028	-1.19484	0.639756	0.276598	0.932793	0.114424	-0.00890843	-0.136488	0.505744	-0.360623	0	0	0.0042113	-0.11326	-0.0499147	0.234861	-0.420849	0	0	-0.410947	0.0727398	0.0343324	0.802958	-0.700658	0.483163	1.15582	0.374818	0	0	1.09442	-0.585289	0.983225	1.03579	0.203598	0	0
60.53	2.85761	1.41335	-1.20212	0.639921	0.275014	0.931113	0.130606	-0.0141477	-0.136686	0.529024	-0.353837	0	0	0.0185769	-0.112605	-0.0487736	0.254297	-0.410977	0	0	-0.416445	0.0708912	0.0328387	0.806118	-0.698969	0.479588	1.15717	0.379011	0	0	1.09916	-0.586694	0.98189	1.03739	0.205812	0	0
60.54	2.86306	1.41602	-1.20645	0.6401	0.273378	0.929382	0.146019	-0.0180922	-0.135435	0.550638	-0.34764	0	0	0.0333097	-0.112959	-0.048687	0.274858	-0.400972	0	0	-0.422307	0.0698574	0.0317679	0.80954	-0.697446	0.476216	1.15856	0.382385	0	0	1.10371	-0.587782	0.980153	1.03843	0.208218	0	0
60.55	2.8655	1.41917	-1.20772	0.640268	0.271804	0.927572	0.161464	-0.0213666	-0.133781	0.570994	-0.341696	0	0	0.049276	-0.113754	-0.0491431	0.296626	-0.39092	0	0	-0.427834	0.0695119	0.030841	0.812468	-0.696241	0.472329	1.16087	0.385263	0	0	1.10731	-0.588986	0.977254	1.03999	0.211183	0	0
60.56	2.86434	1.42294	-1.20492	0.640409	0.270248	0.925677	0.176834	-0.0241492	-0.132816	0.589525	-0.336007	0	0	0.0669083	-0.114847	-0.0491403	0.319764	-0.380863	0	0	-0.432929	0.0697298	0.0296273	0.815013	-0.695334	0.468132	1.16379	0.388222	0	0	1.11023	-0.590357	0.973276	1.04231	0.21402	0	0
60.57	2.85911	1.42658	-1.19764	0.640556	0.26862	0.923706	0.191063	-0.0258975	-0.132243	0.605255	-0.33057	0	0	0.0856086	-0.116585	-0.048513	0.344455	-0.371186	0	0	-0.438133	0.0705598	0.0283676	0.817833	-0.694492	0.464319	1.16633	0.391137	0	0	1.11333	-0.5915	0.969175	1.04456	0.216445	0	0
60.58	2.85097	1.43012	-1.18704	0.64069	0.266906	0.921621	0.205034	-0.0272297	-0.132622	0.620123	-0.325242	0	0	0.104922	-0.118453	-0.0469544	0.369589	-0.361864	0	0	-0.443376	0.0717826	0.0269688	0.820825	-0.69354	0.460466	1.16836	0.393297	0	0	1.11706	-0.592404	0.965705	1.0464	0.2188	0	0
