Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,RILC
95,0.0230441,0.070134,0.036997,0,0.0224259,0.0702471,0.0236489,0,0.0399041,0.0585751,0.0252934,0.0300717,0.0224014,0.047333,0.0402336,0.0221912,0.0458361,0.0560437,0.0287549,0.0572937,0.0630907,0.0368671,0.032151,0.0104417,0.0414326,0.013543,0.00988683,0.0241181,0,0.024862,0.0376548,0.0214472,0.0233322,0,0.0332821,0.0828999,0.0236399,0.0317595,0.0575585,0.0363906,0.0287047,0.0461977,0.0543852,0.0479152,0.0277138,0.0239134,0.00757109,0.0342382,0.0268665,0.0301281,0.00942028,0.0229607,0.0602324,0.0551211,0,0,0,0,0.0197707
96,0.0229084,0.0702681,0.0373849,0,0.0225508,0.0695451,0.0236518,0,0.0400431,0.0590449,0.0253764,0.0297598,0.0225596,0.0470101,0.0400335,0.0221213,0.0455201,0.0557444,0.0285739,0.0576756,0.06348,0.0372094,0.0324904,0.0108099,0.041669,0.0135958,0.00980886,0.0271359,0,0.025544,0.0384481,0.0216124,0.0229174,0,0.0331586,0.082449,0.0222136,0.0331516,0.0572876,0.035945,0.0292011,0.0445495,0.0537519,0.0490161,0.029299,0.0238033,0.00835767,0.0359616,0.0226778,0.0305104,0.00953933,0.0227511,0.0602937,0.0547819,0,0,0,0,0.0199615
97,0.0226455,0.0704621,0.0380403,0,0.0228114,0.0689085,0.0237015,0,0.0401791,0.0594648,0.0255235,0.029352,0.0227196,0.0465089,0.0397144,0.0220749,0.0453922,0.0554159,0.0282671,0.0579261,0.0638818,0.037465,0.0327361,0.0113106,0.0418121,0.0136798,0.00972228,0.0296543,0,0.0265171,0.0391598,0.021932,0.0223678,0,0.0331338,0.0819692,0.0213715,0.0344133,0.0571345,0.0354601,0.0299445,0.0428701,0.0533592,0.0501601,0.0307833,0.0238671,0.0095284,0.0375528,0.0195997,0.0309697,0.00949417,0.0225005,0.0603546,0.0542635,0,0,0,0,0.0204208
98,0.0224946,0.0705997,0.0384811,0,0.0228967,0.0682845,0.0237958,0,0.0402632,0.0599759,0.0255236,0.0290633,0.0229808,0.0461079,0.039317,0.0220277,0.0450801,0.0551038,0.0280596,0.0583585,0.0642632,0.037839,0.0329748,0.0117556,0.0421477,0.0137549,0.00975606,0.0316284,0,0.0277095,0.0402572,0.0222269,0.0218707,0,0.0328792,0.0814062,0.0214203,0.035585,0.0569478,0.0348808,0.0305908,0.0412077,0.0531311,0.0511094,0.0320835,0.0241061,0.0107844,0.0389331,0.0173838,0.0313806,0.00915926,0.0224259,0.060397,0.0538738,0,0,0,0,0.0208829
99,0.0223181,0.0707161,0.038783,0,0.0229624,0.0676857,0.0239248,0,0.0403182,0.0604982,0.0253765,0.0287596,0.0233435,0.045727,0.0388208,0.021998,0.0446719,0.054799,0.0278695,0.0584685,0.0645492,0.0381645,0.0331487,0.012231,0.0424902,0.0138853,0.00986446,0.0329083,0,0.0289978,0.041262,0.0225717,0.0213098,0,0.0326371,0.0807759,0.0224864,0.0360713,0.0569431,0.0344788,0.031334,0.0396644,0.0530649,0.0519458,0.0332497,0.0242201,0.0120041,0.0400874,0.0164593,0.0318235,0.00888808,0.0223315,0.0603962,0.053472,0,0,0,0,0.0213949
100,0.0222001,0.070736,0.0389779,0,0.0230062,0.0673237,0.0241177,0,0.0403685,0.0609653,0.0251978,0.0283849,0.0237716,0.0452273,0.0383173,0.021999,0.0444367,0.0545144,0.0276544,0.0585544,0.0647234,0.0384184,0.0332962,0.0124521,0.0427021,0.0139876,0.0100162,0.0342984,0,0.0299209,0.0418912,0.0228758,0.0209617,0,0.0325778,0.0803462,0.0235952,0.0363239,0.0568751,0.0342135,0.0321052,0.0384931,0.0530681,0.052702,0.0342482,0.0241974,0.0129288,0.0409825,0.0157921,0.0321425,0.00913567,0.0221154,0.060456,0.0531521,0,0,0,0,0.0217086
101,0.022059,0.0707766,0.0391145,0,0.0230287,0.067123,0.024316,0,0.0404258,0.0614823,0.0249161,0.0279995,0.0241205,0.0447678,0.0378951,0.0220008,0.0441755,0.0542984,0.0275207,0.0585938,0.0647376,0.038516,0.0333668,0.0127648,0.042783,0.0140868,0.010196,0.0352101,0,0.0307635,0.0424277,0.023164,0.0206939,0,0.032532,0.0800146,0.0248282,0.0360379,0.0568205,0.0339182,0.0328189,0.0376615,0.0530906,0.0532137,0.0349642,0.0239161,0.0135729,0.041483,0.0159863,0.032391,0.00928192,0.0219612,0.060499,0.0528947,0,0,0,0,0.0219614
102,0.0219276,0.0708706,0.0392345,0,0.0230066,0.0670959,0.0243441,0,0.0404392,0.0619279,0.0246292,0.0275552,0.0244472,0.0442788,0.0376366,0.0221017,0.0440026,0.0541582,0.0273503,0.0584849,0.0645704,0.0384496,0.0332435,0.0132142,0.0428389,0.0141516,0.0102809,0.0360083,0,0.0311511,0.0428021,0.0233885,0.0204169,0,0.032515,0.079895,0.0257009,0.0356019,0.0567398,0.0337206,0.0333471,0.0373029,0.0530465,0.0534416,0.0352747,0.0234726,0.0138858,0.0416091,0.0162933,0.0325288,0.00910329,0.0218884,0.0606091,0.0526418,0,0,0,0,0.0220485
103,0.0219085,0.0707308,0.0391133,0,0.0228397,0.0671945,0.0245143,0,0.0403586,0.0623176,0.0240472,0.0271621,0.0247618,0.0440189,0.0373573,0.0221309,0.0438073,0.0541593,0.0274612,0.0584531,0.0643672,0.0384358,0.0332049,0.0133554,0.0428461,0.0142413,0.0105578,0.0365175,0,0.0312537,0.0429231,0.0235696,0.0203029,0,0.0323888,0.080023,0.0258855,0.0355099,0.0567431,0.0337786,0.0334783,0.0371152,0.0527493,0.0533116,0.0354189,0.023007,0.0137603,0.0416559,0.0164604,0.032604,0.00913805,0.022056,0.0604477,0.0526234,0,0,0,0,0.0217738
104,0.0218549,0.0707951,0.0391031,0,0.0226475,0.0675948,0.0245032,0,0.0405225,0.0625249,0.023613,0.026748,0.0252245,0.0436794,0.0372121,0.0222764,0.0437882,0.0542216,0.0275076,0.0583041,0.0640763,0.0382378,0.0328623,0.0136592,0.04286,0.0143326,0.0106345,0.0371899,0,0.0307105,0.0428284,0.0236347,0.0202871,0,0.0325128,0.080204,0.0256361,0.0352997,0.056772,0.0338809,0.0333511,0.0373903,0.0525041,0.0529572,0.0352035,0.0227064,0.0133567,0.0414193,0.0163514,0.0325131,0.00907678,0.0221823,0.0603986,0.05255,0,0,0,0,0.0214944
